,Team,Season,Record,Loss Streaks in season,Finals Stats,Phil Jackson Achieved
118,Knicks,1976-77,40-42,13,Not Qualified,False
119,Pacers,1976-77,36-46,12,Not Qualified,False
120,Bulls,1976-77,44-38,7,FR Exit,False
121,Hawks,1976-77,31-51,9,Not Qualified,False
122,Jazz,1976-77,35-47,10,Not Qualified,False
123,Warriors,1976-77,46-36,10,CSF Exit,False
124,Nets,1976-77,22-60,13,Not Qualified,False
125,Trail Blazers,1976-77,49-33,7,Champ,False
126,Rockets,1977-78,28-54,11,Not Qualified,False
127,Warriors,1977-78,43-39,9,Not Qualified,False
128,Pacers,1977-78,31-51,12,Not Qualified,False
129,Pistons,1977-78,38-44,12,Not Qualified,False
130,Knicks,1977-78,43-39,11,CSF Exit,False
131,Braves,1977-78,27-55,8,Not Qualified,False
132,Hawks,1977-78,41-41,11,FR Exit,False
133,Nets,1977-78,24-58,9,Not Qualified,False
134,Celtics,1977-78,32-50,14,Not Qualified,False
135,Cavaliers,1977-78,43-39,10,FR Exit,False
136,Spurs,1977-78,52-30,9,CSF Exit,True
137,Lakers,1977-78,45-37,6,FR Exit,False
138,76ers,1977-78,55-27,4,CF Exit,True
139,Jazz,1977-78,39-43,7,Not Qualified,False
140,Trail Blazers,1977-78,58-24,4,CSF Exit,True
141,Suns,1977-78,49-33,7,FR Exit,False
142,Bullets,1977-78,44-38,9,Champ,False
143,Bucks,1977-78,44-38,10,CSF Exit,False
144,SuperSonics,1977-78,47-35,9,Runner Up,True
145,Kings,1977-78,31-51,13,Not Qualified,False
146,Bulls,1977-78,40-42,11,Not Qualified,False
147,Nuggets,1977-78,48-34,10,CF Exit,False
148,Bulls,1978-79,31-51,13,Not Qualified,False
149,Cavaliers,1978-79,30-52,9,Not Qualified,False
150,Rockets,1978-79,47-35,7,FR Exit,False
151,Clippers,1978-79,43-39,10,Not Qualified,False
152,Lakers,1978-79,47-35,10,CSF Exit,False
153,Trail Blazers,1978-79,45-37,8,FR Exit,False
154,Bullets,1978-79,54-28,6,Runner Up,True
155,Spurs,1978-79,48-34,10,CF Exit,False
156,Pacers,1978-79,38-44,11,Not Qualified,False
157,Suns,1978-79,50-32,8,CF Exit,False
158,Nuggets,1978-79,47-35,8,FR Exit,False
159,Celtics,1978-79,29-53,14,Not Qualified,False
160,Knicks,1978-79,31-51,12,Not Qualified,False
161,76ers,1978-79,47-35,9,CSF Exit,False
162,Pistons,1978-79,30-52,13,Not Qualified,False
163,Jazz,1978-79,26-56,15,Not Qualified,False
164,Warriors,1978-79,38-44,12,Not Qualified,False
165,Bucks,1978-79,38-44,10,Not Qualified,False
